classifier,dataset,cv-procedure,p,Lustgarten,Nogueira,Jaccard,#features_mean,#features_min,#features_max,acc_train,acc_test,execution_time
"1_RF_t6e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Renal,"trains-p-diff(120,16)",16,0.2058,0.1828,0.1005,56.7917,34,83,0.9896,0.8569,0.7935
"1_RF_t6e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Renal,"trains-p-diff(120,18)",18,0.1909,0.1699,0.0937,53.2381,38,68,0.9893,0.8696,0.7969
"1_RF_t6e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Renal,"trains-p-diff(120,20)",20,0.187,0.1653,0.0906,55.5238,35,83,0.9849,0.8675,0.7949
"1_RF_t6e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Throat,"trains-p-diff(80,1)",1,0.562,0.5382,0.3917,61.4,51,77,0.9979,0.8754,0.5349
"1_RF_t6e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Throat,"trains-p-diff(80,2)",2,0.4333,0.4135,0.268,64.4,49,78,0.9996,0.8435,0.5345
"1_RF_t6e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Throat,"trains-p-diff(80,3)",3,0.3934,0.3747,0.235,63.0333,50,76,0.9988,0.8594,0.5335
"1_RF_t6e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Throat,"trains-p-diff(80,4)",4,0.3895,0.3725,0.2328,62.8,48,76,0.9975,0.858,0.5307
"1_RF_t6e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Throat,"trains-p-diff(80,5)",5,0.3591,0.3394,0.2074,62.6333,37,72,0.9975,0.8551,0.5341
"1_RF_t6e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Throat,"trains-p-diff(80,6)",6,0.3621,0.3399,0.2072,63.2,50,79,0.9975,0.8449,0.5394
"1_RF_t6e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Throat,"trains-p-diff(80,7)",7,0.3282,0.3108,0.1865,63.2,44,75,0.9971,0.8507,0.5355
"1_RF_t6e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Throat,"trains-p-diff(80,8)",8,0.3351,0.3154,0.1889,62.9333,49,79,0.9983,0.8681,0.5356
"1_RF_t6e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Throat,"trains-p-diff(80,9)",9,0.3289,0.3105,0.186,63.1481,45,78,0.9986,0.8712,0.5343
"1_RF_t6e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Throat,"trains-p-diff(80,10)",10,0.3332,0.3111,0.1854,63.2222,50,80,0.9986,0.8615,0.5329
"1_RF_t6e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Throat,"trains-p-diff(80,12)",12,0.2846,0.2615,0.1515,60.4286,49,78,0.9988,0.8986,0.5425
"1_RF_t6e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Throat,"trains-p-diff(80,14)",14,0.2979,0.2734,0.1596,62.0,48,75,0.9993,0.8841,0.5378
"1_RF_t6e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Throat,"trains-p-diff(80,16)",16,0.2886,0.2599,0.1495,60.0556,40,77,0.9993,0.8937,0.5324
"1_RF_t6e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Throat,"trains-p-diff(80,18)",18,0.2648,0.2355,0.1351,60.8667,46,79,0.9992,0.8928,0.5374
"1_RF_t6e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Throat,"trains-p-diff(80,20)",20,0.2633,0.2381,0.1362,59.0667,43,77,0.9992,0.8899,0.5349
"2_RF_t3e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Breast,"trains-p-diff(260,1)",1,0.6397,0.6348,0.4868,94.2667,89,97,0.9879,0.8586,1.6644
"2_RF_t3e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Breast,"trains-p-diff(260,2)",2,0.5663,0.5619,0.398,94.6,90,100,0.9892,0.8724,1.709
"2_RF_t3e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Breast,"trains-p-diff(260,3)",3,0.5332,0.527,0.363,94.4,89,98,0.9903,0.869,1.7245
"2_RF_t3e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Breast,"trains-p-diff(260,4)",4,0.4926,0.4864,0.3254,94.6,90,99,0.9905,0.8586,1.6882
"2_RF_t3e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Breast,"trains-p-diff(260,5)",5,0.5087,0.5018,0.3391,94.4333,90,99,0.9905,0.8782,1.7169
"2_RF_t3e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Breast,"trains-p-diff(260,6)",6,0.4947,0.4888,0.3274,94.4667,90,99,0.9914,0.892,1.6858
"2_RF_t3e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Breast,"trains-p-diff(260,7)",7,0.4833,0.4797,0.3187,95.2333,92,99,0.9917,0.8828,1.6881
"2_RF_t3e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Breast,"trains-p-diff(260,8)",8,0.469,0.4642,0.3054,94.5,91,99,0.9923,0.892,1.6687
